system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
0000087337ba3b13c5cd,2611,564,Urban area,Mahabad,45,33,12,83,4,IRN,20,-0.19686556059056287,-0.3537349307991917,-0.1152490994040948,-0.3366848929318269,-0.12423030533308221,144149,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000cb82b9a9f86dc6c8,680,3282,Urban area,Orumiyeh,162,266,96,545,64,IRN,0,1.7688135723169067,2.8558514282796033,1.5261442970692352,3.3504004674911516,2.471139726984068,644179,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000026113c279aa2a785,2614,3321,Urban area,Erbil,77,237,19,377,4,IRQ,20,0.7351862910968265,1.8108985262297237,1.1709406075823205,2.0193258198802018,1.074177974441019,1009204,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000368343ef81b78d2,677,3316,Urban area,Mosul,297,279,322,605,7,IRQ,20,0.9994017391981805,1.367545029594416,1.2935668316218167,1.6911897890176093,0.9814742228518644,1446940,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c898f2723ff93829,6874,3305,Urban area,Dohuk,37,54,21,73,1,IRQ,20,0.6075186210384782,0.6830099522123634,0.5398978349888595,0.7323455936031804,0.9960558308675704,194656,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b3e1d28c4cc68622,6875,7573,Urban area,Al-Qamishli,53,27,161,37,9,SYR,20,0.4585293284247708,0.34276096668498135,0.9122450446300199,1.08581228851175,0.7387538554735887,305163,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a29d63ce0a47c012,2616,1599,Urban area,Batman,88,84,77,153,29,TUR,20,0.8702201337300529,1.4902755784722488,1.4433022611502002,2.2398752338136068,1.2964503028238736,320640,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e1f4193af931306c,6876,3277,Urban area,Siirt,19,21,1,17,,TUR,20,0.4887799337562385,0.3684976539007708,0.18857372221092739,0.6799521986317264,,125572,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00003e2b48b2cb912cc5,181,375,Urban area,Tabriz,486,778,89,915,70,IRN,20,-0.045546280827643185,0.1769827655444196,-0.13256224551971985,0.5217945133106151,0.233517116003369,1468812,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000071a7dab634556eb4,2624,3269,Urban area,Marand,32,26,32,101,1,IRN,15,1.1791222880182606,1.714572718045743,0.9292160581870479,1.8137231948948551,0.31193381868114933,121750,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000972b95abbbea9bea,678,3265,Urban area,Khoy,35,52,5,167,4,IRN,20,0.7849811805315493,1.598254425457041,0.9904549854994468,1.926897080485373,1.9557876800021017,195625,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000dc5d2f5ebae504e6,2620,3586,Urban area,Van,115,134,239,41,9,TUR,20,-0.14479448618675358,-0.03650465368558923,-0.19300566382465664,0.26370482016241054,0.2618473176998603,362823,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000069b2cac7fd606586,679,10373,Urban area,Ardabil,60,126,83,233,90,IRN,20,0.9186379670005804,1.2536333255452619,0.9717228572864652,1.639280957220715,0.946611837275126,464761,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000325381c9420777a5,681,370,Urban area,Maragheh,41,36,29,105,9,IRN,20,-0.5086951706976822,-0.366531033009279,-0.6896810187321403,-0.34446817341005503,-0.7035738556762574,158925,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000675d70ef37dfc3f6,2630,10382,Urban area,Bandar-e Anzali,54,64,0,179,,IRN,15,0.16535676517887726,0.3859901754275632,,0.2978053812224215,,115046,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00004d766a9d35675407,2633,10364,Urban area,Balkanabat,6,87,17,17,14,TKM,20,0.25618425568286324,0.2705442850522485,0.4240959494285371,0.28008494202284595,0.38949688508244507,196554,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b3927e4ee7c97401,184,374,Urban area,Sumqayit,1762,2437,3113,892,48,AZE,20,0.22619475841949696,0.4737705342380824,0.30128448246538375,0.5896799231873872,0.5412556353826853,313000,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d116aafee254ed63,2639,10351,Urban area,Ganja,60,281,41,385,12,AZE,20,0.2836884318051474,0.7177323995573146,3.044914932978661E-4,0.6646964668701464,0.7555812843973696,315331,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000dc07d7dad46e96a2,6924,555,Urban area,Gyumri,91,58,10,176,14,ARM,20,0.346122494795067,0.4988024461282052,0.5091820451733863,0.47121261402887676,0.2052512431048274,145527,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d3f430c2482f9f28,185,3155,Urban area,Rustavi,501,767,154,933,28,GEO,20,0.20652966833236483,0.3788204102972958,0.20485647160399617,0.24605975251222725,0.054615809755580766,120944,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000774d19ee09c94a8c,186,10345,Urban area,Derbent,43,49,26,135,3,RUS,20,1.284606931236169,1.2858443369046884,1.339471978523564,1.2628304365663137,1.0445225588616946,119251,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d7aeb08b2554719f,685,10342,Urban area,Makhachkala,363,428,191,574,8,RUS,20,0.8448669730901641,0.9222781957212476,0.89644179423205,1.000020985667543,0.9188387209388216,567915,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a44baf2547c4f26f,2642,2348,Urban area,Khasavyurt,39,94,43,200,1,RUS,15,0.5034768419635438,0.6968245257618081,0.4266896532378037,0.7514360814323044,0.779549080655503,133453,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
00004c75145efea8e3c2,188,460,Urban area,Grozny,154,268,14,530,12,RUS,20,0.9882024845113736,1.4766885164842056,0.518701523383321,1.2315598960612535,1.1318794285472804,269659,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007f8a03edb1af7c77,187,488,Urban area,Vladikavkaz,187,344,2,416,6,RUS,20,0.6240563023946694,1.3877910804988451,-0.12443860387201067,1.1113735285487343,0.9409438498275309,311811,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e9b90a4fbd42a7d5,688,3109,Urban area,Nalchik,206,213,61,312,5,RUS,20,0.31897769745943194,0.7678711827342037,0.37159826815153313,0.8357156358579503,0.9782572165218106,241338,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000458027c40f45c971,687,3090,Urban area,Pyatigorsk,188,219,34,381,11,RUS,20,-0.25411789254591555,-0.19247800262243397,-0.32420525248135035,-0.026573551583312042,-0.008509156590227995,142324,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009006d0edf8f241d8,2658,3097,Urban area,Kislovodsk,57,68,11,149,5,RUS,20,0.573037873218591,0.7310189996213209,0.2857259150175673,0.8192586976752403,0.701617462032484,128546,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000562f8e6b5df279d0,2768,3089,Urban area,Cherkessk,69,159,12,235,0,RUS,20,0.42154327089274884,0.5531880602558426,-0.022801908927465437,0.7045158553770017,,121217,Europe and Japan (E&J),Europe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000035d2386774d8413,2661,48,Urban area,Kutaisi,148,102,29,171,10,GEO,20,0.2974743502492869,0.5778412272429551,0.12040482814120448,0.3511890551931742,0.5454290298631476,194186,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a341dcec0e8c5edf,2662,7546,Urban area,Ordu,87,57,,87,3,TUR,20,0.02401622700240295,0.1325971886227726,,0.011051708446105783,0.09097159655656266,139764,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008f1d524c0157f641,689,7545,Urban area,Trabzon,900,146,11,124,2,TUR,20,0.5124874109853613,0.6195113817968003,0.41392826157327584,0.6331357977411193,0.9918117984544228,233084,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e27ba7802df7f0d4,690,3584,Urban area,Yerevan,772,703,224,1015,10,ARM,20,-0.47411395861508887,-0.19661992985474386,-0.5007954106196865,-0.3553958231184415,0.01209956953303255,1065597,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b7274c9925788358,2667,7556,Urban area,Erzurum,52,158,2,57,27,TUR,20,-0.044211101053739106,0.21519414916743787,0.4449070832981379,0.26903501401645397,-0.26104688040811913,375729,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f784fcf9d4159cdc,2668,7557,Urban area,Erzincan,44,82,8,50,84,TUR,20,0.7696017591677567,1.171296515623621,0.7431239653118067,1.3839413585444282,1.2224520792693157,102414,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000da3376b7e8fc4d48,2673,7564,Urban area,Diyarbakir,111,133,23,178,23,TUR,20,1.3325403548361354,1.9259584647705303,1.9848559007663191,2.297810258786973,1.629383152476841,825605,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
